country_code,year,medal_count,country_name,gdp,athlete_count,ratio
JPN,2000,44,Japan,4887519660744.86,363,0.12121212121212122
JPN,2004,93,Japan,4815148854362.11,414,0.2246376811594203
JPN,2008,51,Japan,5037908465114.48,457,0.11159737417943107
JPN,2012,84,Japan,6203213121334.12,399,0.21052631578947367
JPN,2016,64,Japan,4940158776617.16,436,0.14678899082568808
KAZ,1996,11,Kazakhstan,21035357832.8019,142,0.07746478873239436
KAZ,2000,7,Kazakhstan,18291990619.137,158,0.04430379746835443
KAZ,2004,8,Kazakhstan,43151647002.6096,130,0.06153846153846154
KAZ,2008,13,Kazakhstan,133441612246.798,146,0.08904109589041095
KAZ,2012,13,Kazakhstan,207998568865.789,132,0.09848484848484848
KAZ,2016,18,Kazakhstan,137278320084.171,123,0.14634146341463414
KEN,1964,1,Kenya,998759333.637333,41,0.024390243902439025
KEN,1968,12,Kenya,1353295457.51798,50,0.24
KEN,1972,12,Kenya,2107279157.38336,69,0.17391304347826086
KEN,1984,3,Kenya,6191437070.43467,67,0.04477611940298507
KEN,1988,9,Kenya,8355380879.12955,88,0.10227272727272728
KEN,1992,8,Kenya,8209129171.73649,55,0.14545454545454545
KEN,1996,8,Kenya,12045858436.2399,54,0.14814814814814814
KEN,2000,7,Kenya,12705357103.0056,59,0.11864406779661017
KEN,2004,7,Kenya,16095337093.8366,46,0.15217391304347827
KEN,2008,15,Kenya,35895153327.8497,47,0.3191489361702128
KEN,2012,11,Kenya,50412754821.9795,51,0.21568627450980393
KEN,2016,13,Kenya,70529014778.3251,80,0.1625
KGZ,2000,1,Kyrgyz Republic,1369693171.43504,71,0.014084507042253521
KGZ,2008,2,Kyrgyz Republic,5139957784.91084,22,0.09090909090909091
KOR,1964,3,"Korea, Rep.",3458518493.92483,256,0.01171875
KOR,1968,2,"Korea, Rep.",6117260075.90819,80,0.025
KOR,1972,1,"Korea, Rep.",10842220468.8335,54,0.018518518518518517
KOR,1976,17,"Korea, Rep.",29779338842.9752,60,0.2833333333333333
KOR,1984,41,"Korea, Rep.",96597434179.5082,278,0.1474820143884892
KOR,1988,77,"Korea, Rep.",196964195387.371,607,0.12685337726523888
KOR,1992,49,"Korea, Rep.",350051111253.443,379,0.12928759894459102
KOR,1996,66,"Korea, Rep.",598099073901.423,417,0.15827338129496402
KOR,2000,73,"Korea, Rep.",561633125839.994,359,0.20334261838440112
KOR,2004,52,"Korea, Rep.",764880644710.649,344,0.1511627906976744
KOR,2008,78,"Korea, Rep.",1002219052967.54,329,0.23708206686930092
KOR,2012,61,"Korea, Rep.",1222807284485.31,312,0.1955128205128205
KOR,2016,26,"Korea, Rep.",1411245589976.63,263,0.09885931558935361
LTU,1996,11,Lithuania,8385109020.28485,81,0.13580246913580246
LTU,2000,17,Lithuania,11539211480.3625,77,0.22077922077922077
LTU,2004,3,Lithuania,22649930576.2543,70,0.04285714285714286
LTU,2008,5,Lithuania,47850551148.8365,78,0.0641025641025641
LTU,2012,5,Lithuania,42847900765.8065,72,0.06944444444444445
LTU,2016,7,Lithuania,42738875963.3703,80,0.0875
MAR,1960,1,Morocco,2037150716.33238,111,0.009009009009009009
MAR,1984,2,Morocco,14824728528.4604,42,0.047619047619047616
MAR,1988,3,Morocco,25705296183.5037,35,0.08571428571428572
MAR,1992,3,Morocco,33711069430.78,68,0.04411764705882353
MAR,1996,2,Morocco,43161452678.4383,38,0.05263157894736842
MAR,2000,5,Morocco,38857251336.3448,55,0.09090909090909091
MAR,2004,3,Morocco,59626020162.3816,57,0.05263157894736842
MAR,2008,2,Morocco,92507257783.5697,49,0.04081632653061224
MAR,2012,1,Morocco,98266306615.3632,67,0.014925373134328358
MAR,2016,1,Morocco,103606321692.582,52,0.019230769230769232
MDA,1996,3,Moldova,1695130456.52174,50,0.06
MDA,2000,2,Moldova,1288429150.51394,35,0.05714285714285714
MDA,2008,1,Moldova,6054806100.84681,30,0.03333333333333333
MDA,2012,2,Moldova,7284686576.2835,20,0.1
MEX,1960,1,Mexico,13056168000,110,0.00909090909090909
MEX,1964,1,Mexico,20070136000,128,0.0078125
MEX,1968,9,Mexico,29363632000,446,0.020179372197309416
MEX,1972,1,Mexico,45178120000,281,0.0035587188612099642
MEX,1976,2,Mexico,89023915584.4156,137,0.014598540145985401
MEX,1980,10,Mexico,194356826086.957,74,0.13513513513513514
MEX,1984,6,Mexico,175632157330.155,158,0.0379746835443038
MEX,1988,2,Mexico,183144268180.018,165,0.012121212121212121
MEX,1992,1,Mexico,363609256195.677,174,0.005747126436781609
MEX,1996,1,Mexico,397404140458.457,111,0.009009009009009009
MEX,2000,6,Mexico,683647965226.955,98,0.061224489795918366
MEX,2004,4,Mexico,770267585947.191,137,0.029197080291970802
